Transactions,,,,,,,,,,,,,,Totals,,,,Fees,,Quantities,Total Cost,,,,Avg. Purchase Price,,,,Cash Balances,,,,Realised P/L,,,,Win/Loss,,Date Breakdown,,,,,Identifiers,Individual Platforms,,,,,,,,,,,,,,,,
Date,Action,Asset Ticker,Crypto URL Name,Quantity,Price,Fiat Fees,Currency,Platform,Asset Class,Sector,Country,Strategy,Notes,Total,"Total
(Fees Included)",Total (EUR),"Total 
(Fees Included) (EUR)",Fiat Fees,Fiat Fees (EUR),Rolling Quantity,Total Cost,"Total Cost
(Fees Included)",Total Cost (EUR),"Total Cost 
(Fees Included) (EUR)",Avg. Purchase Price,"Avg. Purchase Price
(Fees Included)",Avg. Purchase Price (EUR),"Avg. Purchase Price 
(Fees Included) (EUR)",Cash Balance,"Cash Balance
(Fees Included)",Cash Balance (EUR),"Cash Balance 
(Fees Included) (EUR)",Realised P/L,"Realised P/L
(Fees Included)",Realised P/L (EUR),"Realised P/L 
(Fees Included) (EUR)","Win/
Loss","Win/Loss
(Fees Included)",Day,Month,Year,MMM-YY,All,Asset_Platform,Platform Rolling Quantity,Platform Avg. Purchase Price,Platform Avg. Purchase Price (Fees Included),Platform Avg. Purchase Price (EUR),"Platform Avg. Purchase Price 
(Fees Included) (EUR)",Platform Realised P/L,Platform Realised P/L (Fees Included),Platform Realised P/L (EUR),"Platform Realised P/L 
(Fees Included) (EUR)",Costo nel tempo,Valore Cumulativo,Valore portafoglio,Valore cumulato portafoglio,Month,Year,,
04/08/2024,Buy,BTCEUR,,"0,0017","50.411,72","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"85,40","85,40","85,40","85,40","0,00","0,00","0,01","-85,40","-85,40","-85,40","-85,40","44.819,38","44.819,38","44.819,38","44.819,38","-432,69","-432,69","-432,69","-432,69","0,00","0,00","0,00","0,00",,,4,08,2024,ago-24,All,BTCEUR_Nexo,"0,01","53.465,40","53.465,40","53.465,40","53.465,40","0,00","0,00","0,00","0,00",85,2251,157,2220,agosto,2024,85,8151
20/08/2024,Buy,BIT:SWDA,,"1,0000","94,35","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"94,35","94,35","94,35","94,35","0,00","0,00","2,00","-94,35","-94,35","-94,35","-94,35","94,35","47,18","94,35","47,18","4.116,63","4.116,63","4.116,63","4.116,63","0,00","0,00","0,00","0,00",,,20,08,2024,ago-24,All,BIT:SWDA_Fineco,"2,00","94,35","94,35","94,35","94,35","0,00","0,00","0,00","0,00",94,2345,112,2331,agosto,2024,94,8245
18/09/2024,Buy,BIT:SWDA,,"1,0000","94,8434","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"94,84","94,84","94,84","94,84","0,00","0,00","3,00","-94,84","-94,84","-94,84","-94,84","94,51","63,06","94,51","63,06","4.021,78","4.021,78","4.021,78","4.021,78","0,00","0,00","0,00","0,00",,,18,09,2024,set-24,All,BIT:SWDA_Fineco,"3,00","94,51","94,51","94,51","94,51","0,00","0,00","0,00","0,00",95,2440,112,2443,settembre,2024,95,8340
17/10/2024,Buy,BIT:SWDA,,"1,0000","99,74","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"99,74","99,74","99,74","99,74","0,00","0,00","4,00","-99,74","-99,74","-99,74","-99,74","95,82","72,23","95,82","72,23","3.922,04","3.922,04","3.922,04","3.922,04","0,00","0,00","0,00","0,00",,,17,10,2024,ott-24,All,BIT:SWDA_Fineco,"4,00","95,82","95,82","95,82","95,82","0,00","0,00","0,00","0,00",100,2540,112,2555,ottobre,2024,100,8440
15/01/2025,Buy,BIT:SWDA,,"1,0000","104,10","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"104,10","104,10","104,10","104,10","0,00","0,00","5,00","-104,10","-104,10","-104,10","-104,10","97,48","78,61","97,48","78,61","3.817,94","3.817,94","3.817,94","3.817,94","0,00","0,00","0,00","0,00",,,15,01,2025,gen-25,All,BIT:SWDA_Fineco,"5,00","97,48","97,48","97,48","97,48","0,00","0,00","0,00","0,00",104,2644,112,2779,gennaio,2025,104,8544
03/02/2025,Buy,BIT:SWDA,,"2,0000","106,97","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"213,94","213,94","213,94","213,94","0,00","0,00","7,00","-213,94","-213,94","-213,94","-213,94","100,19","86,71","100,19","86,71","3.604,00","3.604,00","3.604,00","3.604,00","0,00","0,00","0,00","0,00",,,3,02,2025,feb-25,All,BIT:SWDA_Fineco,"7,00","100,19","100,19","100,19","100,19","0,00","0,00","0,00","0,00",214,2858,224,3003,febbraio,2025,214,8758
03/03/2025,Buy,BIT:SWDA,,"2,0000","106,56","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"213,13","213,13","213,13","213,13","0,00","0,00","9,00","-213,13","-213,13","-213,13","-213,13","101,61","91,12","101,61","91,12","3.390,87","3.390,87","3.390,87","3.390,87","0,00","0,00","0,00","0,00",,,3,03,2025,mar-25,All,BIT:SWDA_Fineco,"9,00","101,61","101,61","101,61","101,61","0,00","0,00","0,00","0,00",213,3071,224,,marzo,2025,213,8971
04/03/2025,Cash Deposit,Cash,,"1,0000","17.000,00",,EUR,BBVA,Cash,,Italy,,,"17.000,00","17.000,00","17.000,00","17.000,00",,,"0,00","0,00","0,00","0,00","0,00","17.000,00","17.000,00","17.000,00","17.000,00","17.000,00","17.000,00","17.000,00","17.000,00","0,00","0,00","0,00","0,00",,,4,03,2025,mar-25,All,Cash_BBVA,"0,00","17.000,00","17.000,00","17.000,00","17.000,00","0,00","0,00","0,00","0,00",0,3071,,,marzo,2025,17000,25971
04/03/2025,Cash Deposit,Cash,,"1,0000","1.700,00",,EUR,Revolut,Cash,,Italy,,,"1.700,00","1.700,00","1.700,00","1.700,00",,,"0,00","0,00","0,00","0,00","0,00","1.700,00","1.700,00","1.700,00","1.700,00","1.700,00","1.700,00","1.700,00","1.700,00","0,00","0,00","0,00","0,00",,,4,03,2025,mar-25,All,Cash_Revolut,"0,00","1.700,00","1.700,00","1.700,00","1.700,00","0,00","0,00","0,00","0,00",0,3071,,,marzo,2025,1700,27671
04/03/2025,Cash Deposit,Cash,,"1,0000","700,00",,EUR,Paypal,Cash,,Italy,,,"700,00","700,00","700,00","700,00",,,"0,00","0,00","0,00","0,00","0,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","0,00","0,00","0,00","0,00",,,4,03,2025,mar-25,All,Cash_Paypal,"0,00","700,00","700,00","700,00","700,00","0,00","0,00","0,00","0,00",0,3071,,3563,marzo,2025,700,28371
01/04/2025,Buy,BIT:SWDA,,"5,0000","98,37","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"491,84","491,84","491,84","491,84","0,00","0,00","14,00","-491,84","-491,84","-491,84","-491,84","100,45","93,71","100,45","93,71","2.899,03","2.899,03","2.899,03","2.899,03","0,00","0,00","0,00","0,00",,,1,04,2025,apr-25,All,BIT:SWDA_Fineco,"14,00","100,45","100,45","100,45","100,45","0,00","0,00","0,00","0,00",492,3563,560,3681,aprile,2025,492,28863
01/04/2025,Buy,BTCEUR,,"0,0013","78.905,00","0,00",EUR,Binance,Crypto,Crypto,United States,Play,,"100,21","100,21","100,21","100,21","0,00","0,00","0,01","-100,21","-100,21","-100,21","-100,21","48.110,83","48.110,83","48.110,83","48.110,83","-199,11","-199,11","-199,11","-199,11","0,00","0,00","0,00","0,00",,,1,04,2025,apr-25,All,BTCEUR_Binance,"0,01","39.584,22","39.584,22","39.584,22","39.584,22","0,00","0,00","0,00","0,00",100,3663,118,3798,aprile,2025,100,28963
01/04/2025,Buy,BTCEUR,,"0,00127","78.740,00","0,30",EUR,Youhodler,Crypto,Crypto,United States,Play,,"100,00","100,30","100,00","100,30","0,30","0,30","0,01","-100,00","-100,30","-100,00","-100,30","50.808,04","50.828,85","50.808,04","50.828,85","-100,00","-100,30","-100,00","-100,30","0,00","0,00","0,00","0,00",,,1,04,2025,apr-25,All,BTCEUR_Youhodler,"0,00","78.740,00","78.740,00","78.740,00","78.740,00","0,00","0,00","0,00","0,00",100,3763,118,,aprile,2025,100,29063
01/05/2025,Cash Deposit,Cash,,"1,0000","10.000,00",,EUR,Revolut,Cash,,Malta,,,"10.000,00","10.000,00","10.000,00","10.000,00",,,"0,00","0,00","0,00","0,00","0,00","10.000,00","10.000,00","10.000,00","10.000,00","11.700,00","11.700,00","11.700,00","11.700,00","0,00","0,00","0,00","0,00",,,1,05,2025,mag-25,All,Cash_Revolut,"0,00","10.000,00","10.000,00","10.000,00","10.000,00","0,00","0,00","0,00","0,00",0,3763,,,maggio,2025,10000,39063
01/05/2025,Cash Deposit,Cash,,"1,0000","-3.000,00",,EUR,BBVA,Cash,,Italy,,,"-3.000,00","-3.000,00","-3.000,00","-3.000,00",,,"0,00","0,00","0,00","0,00","0,00","-3.000,00","-3.000,00","-3.000,00","-3.000,00","14.000,00","14.000,00","14.000,00","14.000,00","0,00","0,00","0,00","0,00",,,1,05,2025,mag-25,All,Cash_BBVA,"0,00","-3.000,00","-3.000,00","-3.000,00","-3.000,00","0,00","0,00","0,00","0,00",0,3763,,4358,maggio,2025,-3000,36063
01/05/2025,Buy,BIT:SWDA,,"5,0000","95,31","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"476,57","476,57","476,57","476,57","0,00","0,00","19,00","-476,57","-476,57","-476,57","-476,57","99,10","94,13","99,10","94,13","2.422,46","2.422,46","2.422,46","2.422,46","0,00","0,00","0,00","0,00",,,1,05,2025,mag-25,All,BIT:SWDA_Fineco,"19,00","99,10","99,10","99,10","99,10","0,00","0,00","0,00","0,00",477,4239,560,,maggio,2025,477,36539
01/05/2025,Cash Deposit,Cash,,"1,0000","2.800,00",,USD,Mercury,Cash,,United States,,,"2.800,00","2.800,00","2.478,64","2.478,64",,"0,00","0,00","0,00","0,00","0,00","0,00","2.800,00","2.800,00",,,"2.800,00","2.800,00","2.478,64","2.478,64","0,00","0,00",,,,,1,05,2025,mag-25,All,Cash_Mercury,"0,00","2.800,00","2.800,00",,,"0,00","0,00",,,0,4239,,,maggio,2025,2800,39339
01/05/2025,Cash Deposit,Cash,,"1,0000","5.800,00",,EUR,Wise,Cash,,United States,,,"5.800,00","5.800,00","5.800,00","5.800,00",,,"0,00","0,00","0,00","0,00","0,00","5.800,00","5.800,00","5.800,00","5.800,00","5.800,00","5.800,00","5.800,00","5.800,00","0,00","0,00","0,00","0,00",,,1,05,2025,mag-25,All,Cash_Wise,"0,00","5.800,00","5.800,00","5.800,00","5.800,00","0,00","0,00","0,00","0,00",0,4239,,,maggio,2025,5800,45139
01/06/2025,Buy,EMXC.BE,,"16,0000","24,26","0,00",EUR,Fineco,ETF,ETF,Japan,Core,,"388,16","388,16","388,16","388,16","0,00","0,00","16,00","-388,16","-388,16","-388,16","-388,16","24,26","24,26","24,26","24,26","2.034,30","2.034,30","2.034,30","2.034,30","0,00","0,00","0,00","0,00",,,1,06,2025,giu-25,All,EMXC.BE_Fineco,"16,00","24,26","24,26","24,26","24,26","0,00","0,00","0,00","0,00",388,4627,,,giugno,2025,388,45527
01/06/2025,Buy,LCCN.MI,,"3,0000","17,15","0,00",EUR,Fineco,ETF,ETF,China,Core,,"51,44","51,44","51,44","51,44","0,00","0,00","20,00","-51,44","-51,44","-51,44","-51,44","18,52","18,52","18,52","18,52","1.982,87","1.982,87","1.982,87","1.982,87","0,00","0,00","0,00","0,00",,,1,06,2025,giu-25,All,LCCN.MI_Fineco,"20,00","18,52","18,52","18,52","18,52","0,00","0,00","0,00","0,00",51,4679,,5560,giugno,2025,51,45579
06/06/2025,Transfer Send,BTCEUR,,"0,0130","93.851,30",,EUR,Nexo,Crypto,Crypto,United States,Play,,"1.216,88","1.216,88","1.216,88","1.216,88",,,"0,01","0,00","0,00","0,00","0,00","50.808,04","50.828,85","50.808,04","50.828,85","-432,69","-432,69","-432,69","-432,69","0,00","0,00","0,00","0,00",,,6,06,2025,giu-25,All,BTCEUR_Nexo,"0,01","53.465,40","53.465,40","53.465,40","53.465,40","0,00","0,00","0,00","0,00",1217,5896,1202,6762,giugno,2025,1217,46796
06/06/2025,Transfer Deposit,BTCEUR,,"0,0130","93.851,30",,EUR,Binance,Crypto,Crypto,United States,Play,,"1.216,88","1.216,88","1.216,88","1.216,88",,,"0,01","0,00","0,00","0,00","0,00","50.808,04","50.828,85","50.808,04","50.828,85","-199,11","-199,11","-199,11","-199,11","0,00","0,00","0,00","0,00",,,6,06,2025,giu-25,All,BTCEUR_Binance,"0,01","39.584,22","39.584,22","39.584,22","39.584,22","0,00","0,00","0,00","0,00",1217,7113,1202,6842,giugno,2025,1217,48013
